"Reference","JulianDate","Gear","Longitude","Latitude","StartDepth","Zone","month","year","starttime","effort","n","season","CPUE"
"TBM1999010401",4,160,-82.4265,27.932167,0.7,"C",1,1999,9,41.2,0,1,0
"TBM1999010501",5,160,-82.669167,28.030333,0.6,"A",1,1999,9,41.2,0,1,0
"TBM1999010503",5,160,-82.691833,27.9625,1.5,"A",1,1999,10,41.2,0,1,0
"TBM1999010601",6,160,-82.598667,27.828167,1,"B",1,1999,9,41.2,0,1,0
"TBM1999010603",6,160,-82.625833,27.751833,1,"B",1,1999,10,41.2,0,1,0
"TBM1999010606",6,160,-82.6395,27.736833,1,"B",1,1999,12,41.2,0,1,0
"TBM1999010702",7,160,-82.5965,27.596167,1.8,"E",1,1999,9,41.2,0,1,0
"TBM1999010705",7,160,-82.611,27.573667,2.2,"E",1,1999,10,41.2,0,1,0
"TBM1999010715",7,160,-82.610667,27.507333,1.8,"E",1,1999,12,41.2,0,1,0
"TBM1999010716",7,300,-82.370667,27.857167,1.9,"K",1,1999,12,5.9296,0,1,0
"TBM1999010717",7,300,-82.386833,27.858333,2.5,"K",1,1999,13,8.8944,0,1,0
"TBM1999010801",8,160,-82.516167,27.675833,0.9,"E",1,1999,9,41.2,0,1,0
"TBM1999010805",8,160,-82.546,27.6645,0.9,"E",1,1999,10,41.2,0,1,0
"TBM1999010812",8,160,-82.4805,27.739667,0.8,"C",1,1999,11,41.2,0,1,0
"TBM1999011103",11,160,-82.742667,27.653667,0.6,"D",1,1999,11,41.2,0,1,0
"TBM1999011105",11,160,-82.674167,27.646,2,"D",1,1999,13,41.2,0,1,0
"TBM1999011106",11,160,-82.680333,27.703833,2.7,"D",1,1999,14,41.2,0,1,0
"TBM1999011205",12,160,-82.688,27.919333,2.4,"A",1,1999,11,41.2,0,1,0
"TBM1999011208",12,160,-82.633833,27.907333,0.8,"A",1,1999,13,41.2,0,1,0
"TBM1999011211",12,160,-82.6085,27.869167,0.9,"B",1,1999,14,41.2,0,1,0
"TBM1999011408",14,300,-82.452333,27.718,2.2,"L",1,1999,10,7.412,0,1,0
"TBM1999011409",14,300,-82.475333,27.711,1.1,"L",1,1999,11,8.8944,0,1,0
"TBM1999011411",14,300,-82.452167,27.701333,2,"L",1,1999,11,9.6356,0,1,0
"TBM1999011412",14,300,-82.455333,27.699833,2,"L",1,1999,12,8.8944,0,1,0
